,label,youtube_id,time_start,time_end,split
0,paragliding,-efcBtG1KVo,51,61,train
1,paragliding,-eiAd94PTWw,35,45,train
2,paragliding,-enPIivwlsY,1821,1831,train
3,paragliding,-giSKLNiewY,41,51,train
4,paragliding,-qCYMzHkc2k,7,17,train
5,paragliding,0eE_3nvbClk,53,63,train
6,paragliding,0hrx0HwZxME,2,12,train
7,paragliding,0vCPUd1WQ4U,36,46,train
8,paragliding,15LSh_XPils,280,290,train
9,paragliding,1EXXo5VUaTg,1,11,train
10,paragliding,1EiHodiRTI8,122,132,train
11,paragliding,1Ep1RNI0b0U,35,45,train
12,paragliding,1LN26t34S8c,111,121,train
13,paragliding,1LS1eWN_TbE,2,12,train
14,catching or throwing baseball,-JLmaEHB_GI,277,287,train
15,catching or throwing baseball,-_ZMybcaUOw,374,384,train
16,catching or throwing baseball,-_o1wewuNhU,127,137,train
17,catching or throwing baseball,-gswhyjdG-A,0,10,train
18,catching or throwing baseball,-jIBrJAYBeg,1,11,train
19,catching or throwing baseball,-sKTm-mjHYo,13,23,train
20,catching or throwing baseball,0-2GOSXJUe0,0,10,train
21,catching or throwing baseball,08Rk0r1zVyk,44,54,train
22,catching or throwing baseball,08sAVLdsWI4,13,23,train
23,catching or throwing baseball,0AO_OCEztlc,0,10,train
24,catching or throwing baseball,0AcqN56Sn5A,34,44,train
25,catching or throwing baseball,0KgQ0m9WI2g,137,147,train
26,catching or throwing baseball,0MQ-i0IpRi4,6,16,train
27,catching or throwing baseball,0MXLuil0aOI,4,14,train
28,catching or throwing baseball,0UdpIwbUXZA,88,98,train
29,dancing macarena,-7__u70jRAg,40,50,train
30,dancing macarena,-NE4uod348M,206,216,train
31,dancing macarena,-k1jF9CkQ2A,163,173,train
32,dancing macarena,-pZ6R3HDXf0,26,36,train
33,dancing macarena,-tsNVjN2zSE,154,164,train
34,dancing macarena,-ttWnf0TQY4,34,44,train
35,dancing macarena,-wii19IZoUs,4,14,train
36,dancing macarena,05Ze7_XyfZ8,11,21,train
37,dancing macarena,0AtUeWLivIk,87,97,train
38,dancing macarena,0HacRNjlQWY,2,12,train
39,dancing macarena,0NpscLUEx0Y,17,27,train
40,dancing macarena,0VeH2RZ747c,11,21,train
41,dancing macarena,0e6s5Vn3Qlo,74,84,train
42,dancing macarena,0syP-hw59gg,20,30,train
43,dancing macarena,0zF-6j-OHoc,37,47,train
44,laughing,-H1ScxTwBlw,123,133,train
45,laughing,-XWjsz_0_OE,31,41,train
46,laughing,-mmu5VJRY1Y,61,71,train
47,laughing,-oSKT0KuI3I,65,75,train
48,laughing,-tzRVLORGvY,15,25,train
49,laughing,-v_iMUMMX6g,50,60,train
50,laughing,-xd3aIXUJuE,12,22,train
51,laughing,0Bzn7lSvTmA,27,37,train
52,laughing,0GsiopyhDgI,21,31,train
53,laughing,0S20SCkkeFA,20,30,train
54,laughing,0XKR4zE_cdQ,78,88,train
55,laughing,0bYUAffLy0c,38,48,train
56,laughing,14Sph2O9VtQ,14,24,train
57,eating cake,-7yNDPMfE4Q,6,16,train
58,eating cake,-RnFoMT98A4,0,10,train
59,eating cake,-_MFAjItBBE,225,235,train
60,eating cake,-eV9XdqPzD8,50,60,train
61,eating cake,0Jpl4du8F8o,15,25,train
62,eating cake,1G0RbpsS_aE,8,18,train
63,eating cake,1YYPDC2Ig18,9,19,train
64,eating cake,1pd9-tf17NE,5,15,train
65,eating cake,1rLgHXNOoqI,13,23,train
66,eating cake,27_oTba7mik,15,25,train
67,eating cake,2DMxUUkDgFI,2,12,train
68,eating cake,2W0luVW5qek,9,19,train
69,eating cake,2buPVKtWU5M,9,19,train
70,eating cake,2eYMcKwGo3A,45,55,train
71,beatboxing,-QgtDg1rtGk,269,279,train
72,beatboxing,-Qq10QqHbz0,52,62,train
73,beatboxing,-QrBJOBkyOc,86,96,train
74,beatboxing,-grzYb1gX18,3,13,train
75,beatboxing,0eIdXhqH7Nc,73,83,train
76,beatboxing,0eQPUWFQk0c,34,44,train
77,beatboxing,0eROwTAExg0,2,12,train
78,beatboxing,0eTI0yQuPh8,17,27,train
79,beatboxing,0eU4Pnr10PU,1,11,train
80,beatboxing,0eZ0jqO8tiM,90,100,train
81,beatboxing,140n38HSgGc,0,10,train
82,beatboxing,14xZ7kRMcdk,37,47,train
83,beatboxing,15HlO19pWE4,0,10,train
84,beatboxing,1l7z9xryS5E,124,134,train
85,feeding birds,--PyMoD3_eg,20,30,train
86,feeding birds,-0EXMXaj77A,62,72,train
87,feeding birds,-1VyqbLf1Pg,0,10,train
88,feeding birds,-5VuqHbo5nE,4,14,train
89,feeding birds,-7BVb-zigbA,15,25,train
90,feeding birds,-98DdKiwFi0,5,15,train
91,feeding birds,-C5aPmkmjA4,74,84,train
92,feeding birds,-H9lVjKQw2o,16,26,train
93,feeding birds,-KuhSa1TCGE,49,59,train
94,feeding birds,-MwPLE_xWz0,2,12,train
95,feeding birds,-SfAPNOB3aU,21,31,train
96,feeding birds,-VuAeKfNf18,175,185,train
97,feeding birds,-WvBTcrfKKI,13,23,train
98,feeding birds,-jCuZjrFdhQ,11,21,train
99,feeding birds,-kHCPj7_bqU,74,84,train
100,opening present,-7QhBZO3t-A,5,15,train
101,opening present,-7v78zoqTrU,49,59,train
102,opening present,-Q83wlepp48,14,24,train
103,opening present,-W1d_vhMasw,4,14,train
104,opening present,-YGIiAr8SLc,103,113,train
105,opening present,-cerMH7BTOc,9,19,train
106,opening present,-coRoBr2_cI,26,36,train
107,opening present,-kRj53ftJnU,9,19,train
108,opening present,-kfK-xHGs2A,428,438,train
109,opening present,-koP2KpBnnQ,24,34,train
110,opening present,-koPqEecDtY,8,18,train
111,opening present,-p8HypgZl6o,4,14,train
112,opening present,-xDXYkOG5B0,55,65,train
113,opening present,-ygjTvEdGJ0,140,150,train
114,opening present,01rdh-3CnsE,13,23,train
115,swinging on something,-xJwj_eklmo,2,12,train
116,swinging on something,0783Gcxzeyo,60,70,train
117,swinging on something,07sahmNCSO0,6,16,train
118,swinging on something,09TAKkHpBDY,12,22,train
119,swinging on something,0ATPzLSCCTg,72,82,train
120,swinging on something,0kxWcF0Zt3M,4,14,train
121,swinging on something,0sFD_PF4YfQ,2,12,train
122,swinging on something,1dm8RmpNAb4,351,361,train
123,swinging on something,1ePt_olW2-Q,34,44,train
124,swinging on something,1mOm56qVqAQ,21,31,train
125,swinging on something,1uB1I9OF1gM,23,33,train
126,swinging on something,1wCPjFozIUQ,221,231,train
127,swinging on something,22CPTflKLnE,0,10,train
128,making pizza,-Fs-zEnMYgc,354,364,train
129,making pizza,-GKnuhPmiwM,16,26,train
130,making pizza,-N8bMIwJ6YU,192,202,train
131,making pizza,-S-krOZhvQs,88,98,train
132,making pizza,-hr7cgupd_M,233,243,train
133,making pizza,-jClNNfcK5c,306,316,train
134,making pizza,-jswxUe334A,114,124,train
135,making pizza,-mLImzB3iek,8,18,train
136,making pizza,-vX6KljYppA,4,14,train
137,making pizza,-xq2AXf-rKE,30,40,train
138,making pizza,0AHW5Xlyi3A,182,192,train
139,making pizza,0Dd-LEk-2iE,107,117,train
140,making pizza,0DssRvFYL4E,39,49,train
141,making pizza,0EvFP-wbYVM,9,19,train
142,making pizza,0JTvkJnwdFE,10,20,train
143,kitesurfing,-4ano7snqlI,36,46,train
144,kitesurfing,-7mSbonr-9k,51,61,train
145,kitesurfing,-FjBFRT36pU,100,110,train
146,kitesurfing,-RugFi1PGJI,327,337,train
147,kitesurfing,-fTTbtnm3hc,147,157,train
148,kitesurfing,-g3s97YnVs4,23,33,train
149,kitesurfing,-g4pOHKm1B0,16,26,train
150,kitesurfing,-pvHNmFR4fM,67,77,train
